City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
470,Corrente,BR,94.05,broken clouds,-3.7367,-43.3394,Chapadinhense Hotel
475,Kinshasa,CD,80.98,few clouds,-4.3246,15.3215,Flat Hotel Alhdeef
476,Alta Floresta,BR,97.38,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
478,Miri,MY,84.34,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
479,Tulum,MX,85.93,broken clouds,20.2167,-87.4667,Kin Ha Tulum
480,Romitan,UZ,93.15,clear sky,39.9343,64.3814,Hotel Temur
481,Mishawaka,US,87.1,broken clouds,41.662,-86.1586,Hyatt Place South Bend/Mishawaka
483,Gavle,SE,78.94,clear sky,60.6745,17.1417,Scandic CH
484,Houston,US,92.3,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
485,Atasu,KZ,77.11,few clouds,48.6814,71.6433,Dostyk
487,Halifax,CA,78.42,clear sky,44.6453,-63.5724,Hotel Halifax
488,Bodden Town,KY,86.0,scattered clouds,19.2833,-81.25,Will T Place
490,Conakry,GN,80.67,light rain,9.538,-13.6773,Riviera Royal Hotel
493,Ukiah,US,91.44,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
494,Murud,IN,80.04,light rain,18.3258,72.965,On Point Plaza
496,Axim,GH,78.58,scattered clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
497,Hun,LY,93.88,clear sky,29.1268,15.9477,Alrwasi Hotel
498,Robertsport,LR,79.27,broken clouds,6.7533,-11.3686,Kwepunha Retreat
502,Faro,PT,83.98,few clouds,37.0194,-7.9322,Hotel Faro & Beach Club
506,Vaitape,PF,77.77,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
507,Dunyapur,PK,98.62,scattered clouds,29.7995,71.7196,فدا لاج
509,Marienburg,PL,83.88,overcast clouds,54.0359,19.0266,Hotel Centrum Malbork
512,Yaring,TH,80.78,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
517,Acapulco,MX,86.27,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
519,Barbastro,ES,86.18,broken clouds,42.0356,0.1269,Gran Hotel Ciudad De Barbastro
520,Tabuk,PH,77.38,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
522,Tezu,IN,77.67,overcast clouds,27.9167,96.1667,Circuit House
524,Montgomery,US,89.98,overcast clouds,39.1501,-77.1997,"Holiday Inn Gaithersburg, an IHG Hotel"
525,Orem,US,89.1,clear sky,40.2969,-111.6946,Goldstar Management
528,Bac Lieu,VN,79.11,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
534,Vila Velha,BR,76.96,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
536,Chapada Dos Guimaraes,BR,87.46,clear sky,-15.4606,-55.7497,Pousada Morro Dos Ventos
538,Williston,US,88.57,clear sky,48.147,-103.618,Hampton Inn & Suites Williston
540,Shubarkuduk,KZ,76.77,clear sky,49.1447,56.4872,Sirius
541,Sedona,US,76.62,scattered clouds,34.8697,-111.761,Amara Resort and Spa
542,Jaisalmer,IN,98.26,overcast clouds,26.9147,70.9181,Hotel Fifu
544,Huilong,CN,78.04,light rain,31.8111,121.655,Hilton Garden Inn Qidong
